Event Name,Date(s),End Date,City,State,Country,Type,Consumption On-Site,Participation Cost,Accepts Free Product,Event Size,Source URL,Contact Email or IG,Contact Name,Date Added,Status,Last Touch Date,Product Sent,Ship Tracking,Notes,Priority,Tags,Outreach Draft Location,Content Received
Underground 420 Festival (LA On Lock),2026-04-19,,Los Angeles,CA,USA,End User,Yes,$0,Yes,2000+,https://laonlock.com/underground-420-festival,@laonlock,,2026-04-18,Not contacted,,,,Large underground 420 fest with indoor consumption. Gift bag format fits overstock.,A,festival;consumption;gift-bag,,
Mile High 420 Festival,2026-04-20,2026-04-20,Denver,CO,US,End User,Unknown,$0,Unknown,2000+,https://www.milehigh420fest.com/,https://www.milehigh420fest.com/,,2026-04-17,Not contacted,,,,"50,000+ attendees. Juicy J, Paul Wall, Mike Jones. Two stages. World's largest 420 celebration. 21+.",A,420,,
Mendo Cup (2nd Annual),2026-05-03,2026-05-03,Willits,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.themendocup.org/,https://www.themendocup.org/,,2026-04-17,Not contacted,,,,"Celebrates Mendocino County craft cannabis farmers. Outdoor consumption lounge, DJs, awards. 21+.",A,cup,,
WEEDCon Cup + LA Expo,2026-05-21,,Los Angeles,CA,USA,End User,Yes,$0-500,Unknown,500-2000,https://weedconevents.com,info@weedconevents.com,,2026-04-18,Not contacted,,,,Cup format — ask about product inclusion in judge kits + swag bags.,B,cup;expo,,
California Roots Music & Arts Festival,2026-05-22,2026-05-24,Monterey,CA,US,End User,Unknown,$0,Unknown,2000+,https://www.californiarootsfestival.com/,https://www.californiarootsfestival.com/,,2026-04-17,Not contacted,,,,"Premier reggae festival. Ziggy Marley, Damian Marley, Rebelution, Ice Cube, Pepper. Memorial Day weekend. Deep cannabis culture.",A,,,
Cali Roots Music & Arts Festival (15th Anniv.),2026-05-22,,Monterey,CA,USA,End User,Implied,Sponsorship only,Unknown,2000+,https://www.californiarootsfestival.com,@calirootsfest,,2026-04-18,Not contacted,,,,"Biggest reggae fest on West Coast. Try via artist management or gifting suites, not paid booth.",A,festival;music;reggae,,
Farmers Cup — 420 Edition,2026-05-30,2026-05-30,San Diego,CA,US,End User,Unknown,$0,Unknown,500-2000,https://farmerscupofficial.com/,https://farmerscupofficial.com/,,2026-04-17,Not contacted,,,,"People's choice cannabis competition. Flower, edibles, concentrates, pre-rolls. Consumer judging. 21+.",A,cup;420,,
Farmers Cup 420 Edition,2026-05-30,,San Diego,CA,USA,End User,Yes,Unknown,Unknown,500-2000,,,,2026-04-18,Not contacted,,,,People's choice cannabis competition.,A,cup;consumer,,
Cali Vibes Fest,2026-06-06,2026-06-07,Long Beach,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.visitlongbeach.com/events/annual-events/cali-vibes-fest/,https://www.visitlongbeach.com/events/annual-events/cali-vibes-fest/,,2026-04-17,Not contacted,,,,One of the first festivals to permit on-site cannabis consumption. Cannabis village with brand activations. Reggae/hip-hop/alternative.,A,,,
Reggae Rise Up Oregon,2026-06-12,2026-06-14,Redmond,OR,US,End User,Unknown,$0,Unknown,500-2000,https://reggaeriseup.com/oregon/,https://reggaeriseup.com/oregon/,,2026-04-17,Not contacted,,,,"Camping festival. Dirty Heads, Rebelution, 311, Iration, SOJA, Burning Spear, J Boog, Tribal Seeds.",A,reggae;festival;music,,
Northern Nights Music Festival,2026-07-17,2026-07-19,Piercy,CA,US,End User,Unknown,$0,Unknown,2000+,https://www.northernnights.org/,https://www.northernnights.org/,,2026-04-17,Not contacted,,,,"Cannabis lounge on-site. Cannabis brand partners (Cake, Papa's Herb, Neau Tropics). NorCal Eel River camping. Electronic/bass music.",A,,,
Reggae On The Mountain,2026-07-25,2026-07-25,Topanga,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.reggaeonthemountain.com/,https://www.reggaeonthemountain.com/,,2026-04-17,Not contacted,,,,"SoCal roots reggae day festival. Don Carlos, Yellowman, Chalice. Counterculture canyon community.",A,reggae;festival;music,,
Reggae on the River,2026-08-14,2026-08-16,Piercy,CA,US,End User,Unknown,$0,Unknown,500-2000,https://www.reggaeontheriver.com/,https://www.reggaeontheriver.com/,,2026-04-17,Not contacted,,,,36th annual. Legendary reggae festival on the Eel River in Humboldt County. Deep Emerald Triangle cannabis culture roots.,A,reggae;festival;music,,
Reggae on the River (37th Annual),2026-08-14,,Humboldt County,CA,USA,End User,Yes,$0,Unknown,2000+,https://www.reggaeontheriver.com,Mateel Community Center,,2026-04-18,Not contacted,,,,Humboldt reggae heartland. Reach out to Mateel Community Center nonprofit host.,A,festival;music;reggae,,
The Emerald Cup,2026-08-15,2026-08-16,Santa Rosa,CA,US,End User,Unknown,$0,Unknown,500-2000,https://theemeraldcup.com/,https://theemeraldcup.com/,,2026-04-17,Not contacted,,,,"World's most prestigious sun-grown cannabis competition. 30,000+ attendees. Live music, educational workshops, vendor exhibits.",A,cup,,
WEEDCon Cup + SF Expo,2026-09-01,,San Francisco,CA,USA,End User,Yes,$0-500,Unknown,500-2000,https://weedconevents.com,info@weedconevents.com,,2026-04-18,Not contacted,,,,SF edition of WEEDCon. Same pitch as LA.,B,cup;expo,,
Nevada Cannabis Awards Music Festival,2026-09-26,2026-09-26,Las Vegas,NV,US,End User,Unknown,$0,Unknown,2000+,,,,2026-04-17,Not contacted,,,,"Cannabis awards ceremony + live music. Recognizes top dispensaries, growers, influencers in Nevada.",A,,,
Pot Stock LA / Smoke Sessions,Monthly-ish,,Los Angeles,CA,USA,End User,Yes,$0,Yes,<100,IG discovery,@potstockla;@smokesessionsla;@thehigherlearning,,2026-04-18,Not contacted,,,,Invite-only private events. Build IG relationships.,A,sesh;private,,
Secret Spot DTLA — Open Collab Sunday Sesh,Recurring Sundays,,Los Angeles,CA,USA,End User,Yes,$0,Yes,<100,https://www.eventbrite.com/o/secret-spot-dtla,@secretspotdtla,,2026-04-18,Not contacted,,,,Recurring sesh — ongoing product placement opportunity.,A,sesh;recurring;consumption,,
Kushstock Concert Series,TBD 2026,,Los Angeles,CA,USA,End User,Yes,$0,Yes,500-2000,https://eventhi.io,@kushstockfestival,,2026-04-18,Not contacted,,,,Same org as Kushstock Festival. Build one relationship = multiple event access.,B,concert;recurring;consumption,,
Grass Lands @ Outside Lands,TBD Aug 2026,,San Francisco,CA,USA,End User,Yes,Sponsorship only,Unknown,2000+,https://sfoutsidelands.com,@sfoutsidelands,,2026-04-18,Not contacted,,,,21+ cannabis area inside major music fest. Try via their licensed vendor partners.,B,festival;music;consumption,,
Eventbrite LA sesh meetups,Weekly,,Los Angeles,CA,USA,End User,Yes,$0,Yes,<100,https://eventbrite.com/d/ca--los-angeles/cannabi/,Varies per event,,2026-04-18,Not contacted,,,,Source: weekly Eventbrite sweep. Small consumption-friendly events.,A,sesh;recurring,,
Eventbrite Bay Area sesh meetups,Weekly,,Oakland/SF,CA,USA,End User,Yes,$0,Yes,<100,https://eventbrite.com/d/ca--san-francisco/cannabi/,Varies per event,,2026-04-18,Not contacted,,,,Source: weekly Eventbrite sweep. Oakland has strong sesh scene.,A,sesh;recurring,,
Eventbrite San Diego sesh meetups,Weekly,,San Diego,CA,USA,End User,Yes,$0,Yes,<100,https://eventbrite.com/d/ca--san-diego/cannabi/,Varies per event,,2026-04-18,Not contacted,,,,Source: weekly Eventbrite sweep. SD under-served in our tracking.,A,sesh;recurring,,
The Artist Tree Studio Lounge Events,Year-round,,West Hollywood,CA,USA,End User,Yes,$0,Yes,100-500,https://theartisttree.com,@theartisttreeshop,,2026-04-18,Not contacted,,,,"Licensed consumption lounge. Hosts STIIIZY, Dabwoods, West Coast Cure activations. Pitch recurring monthly drop.",A,lounge;recurring;consumption,,
Dispensary-hosted events circuit,Year-round,,Multiple,CA,USA,End User,Varies,$0,Yes,<100,Various,Various (Cookies;Stiiizy;Connected;Catalyst;Glass House;Harborside),,2026-04-18,Not contacted,,,,Highest-volume opportunity. Build a dispensary events contact list as parallel workstream.,A,dispensary;recurring,,
Consumption Lounge circuit,Year-round,,Multiple,CA,USA,End User,Yes,$0,Yes,<100,Various,Various (Artist Tree;Pleasure Med WeHo;Original Cannabis Cafe;Studio Lounge LA;2106 Studios),,2026-04-18,Not contacted,,,,On-site use = direct content opportunity. Longer relationship play but highest-fit venue type in CA.,A,lounge;recurring;consumption,,
Budtender appreciation events,Year-round,,Multiple,CA,USA,End User,Varies,$0,Yes,<100,Various,Dispensary GM or marketing contact,,2026-04-18,Not contacted,,,,Point-of-sale influence. Possibly highest-ROI product donation target for King Palm.,A,budtender;recurring,,
CHAMPS Trade Show Atlantic City,2026-03-17,2026-03-19,Atlantic City,NJ,US,Business,Unknown,Booth required,Unknown,2000+,https://champstradeshows.com/,https://champstradeshows.com/,,2026-04-17,Do Not Outreach - Business,,,,CHAMPS Trade Show - counterculture industry's premier B2B event.,C,trade-show,,
Hall of Flowers Ventura,2026-03-18,2026-03-19,Ventura,CA,US,Business,Unknown,Booth required,Unknown,500-2000,https://www.hallofflowers.com/,https://www.hallofflowers.com/,,2026-04-17,Do Not Outreach - Business,,,,World's premier cannabis trade show. Day 1: B2B. Day 2: public cannabis festival with consumption zones. 250+ brands.,C,trade-show,,
Total Product Expo (TPE) 2026,2026-03-31,2026-04-02,Las Vegas,NV,US,Business,Unknown,Booth required,Unknown,500-2000,https://totalproductexpo.com/,info@totalproductexpo.com,,2026-04-17,Do Not Outreach - Business,,,,"North America's largest B2B trade show for tobacco, vape, alternative products.",C,trade-show,,
ICBC Berlin 2026,2026-04-13,2026-04-15,Berlin,,DE,Business,Unknown,Booth required,Unknown,500-2000,https://internationalcbc.com/icbc-2026-berlin/,https://internationalcbc.com/icbc-2026-berlin/,,2026-04-17,Do Not Outreach - International,,,,Europe's largest and longest-running cannabis B2B tradeshow.,C,trade-show;international;germany-team,,
Spannabis 2026,2026-04-17,2026-04-19,Bilbao,,ES,Business,Unknown,Booth required,Unknown,500-2000,https://spannabis.es/bilbao/en/home/,https://spannabis.es/bilbao/en/home/,,2026-04-17,Do Not Outreach - International,,,,Europe's largest cannabis expo. 25K+ visitors. Champions Cup + World Cannabis Conference. Moved from Barcelona to Bilbao.,C,trade-show;international;germany-team,,
NECANN Boston,2026-04-24,2026-04-25,Boston,MA,US,Business,Unknown,Booth required,Unknown,500-2000,https://necann.com/,https://necann.com/,,2026-04-17,Do Not Outreach - Business,,,,"9,000+ attendees, 300+ exhibitors. Includes NECANN Cup cannabis competition.",C,trade-show,,
MJ Unpacked Atlantic City,2026-05-05,2026-05-07,Atlantic City,NJ,US,Business,Unknown,Booth required,Unknown,500-2000,https://mjunpacked.com/,https://mjunpacked.com/,,2026-04-17,Do Not Outreach - Business,,,,B2B cannabis conference connecting brands with retail buyers.,C,trade-show,,
CHAMPS Trade Show Las Vegas (May),2026-05-06,2026-05-09,Las Vegas,NV,US,Business,Unknown,Booth required,Unknown,2000+,https://champstradeshows.com/las-vegas-may-2026,https://champstradeshows.com/las-vegas-may-2026,,2026-04-17,Do Not Outreach - Business,,,,"CHAMPS Trade Show. 700+ exhibitors: glass, vaporizers, rolling accessories, CBD. B2B buyers only.",C,trade-show,,
The Cannabis Expo Johannesburg,2026-05-29,2026-05-31,Johannesburg,,ZA,Business,Unknown,Booth required,Unknown,500-2000,https://www.thecannabisexpo.co.za/,https://www.thecannabisexpo.co.za/,,2026-04-17,Do Not Outreach - International,,,,Africa's premier cannabis event. Includes co-located Vape Expo.,C,trade-show;international;germany-team,,
Lift & Co Expo Toronto,2026-06-01,2026-06-03,Toronto,ON,CA,Business,Unknown,Booth required,Unknown,500-2000,,,,2026-04-17,Do Not Outreach - International,,,,Canada's flagship cannabis B2B and consumer expo.,C,trade-show;international;germany-team,,
Mary Jane Berlin,2026-06-11,2026-06-14,Berlin,,DE,Business,Unknown,Booth required,Unknown,500-2000,https://www.maryjane-berlin.com/en,https://www.maryjane-berlin.com/en,,2026-04-17,Do Not Outreach - International,,,,"60,000+ visitors. Day 1 B2B only, Days 2-4 open to public (18+). Major European cannabis expo.",C,trade-show;international;germany-team,,
CHAMPS Trade Show Chicago,2026-06-23,2026-06-25,Chicago,IL,US,Business,Unknown,Booth required,Unknown,2000+,https://champstradeshows.com/chicago-2026,https://champstradeshows.com/chicago-2026,,2026-04-17,Do Not Outreach - Business,,,,CHAMPS Trade Show Chicago edition. Counterculture industry B2B.,C,trade-show,,
World Class Cannabis Business Asia-Pacific,2026-08-25,2026-08-26,Bangkok,,TH,Business,Unknown,Booth required,Unknown,500-2000,,,,2026-04-17,Do Not Outreach - International,,,,Cannabis business conference for the Asia-Pacific region.,C,trade-show;international;germany-team,,
CHAMPS Trade Show Las Vegas (Aug),2026-08-26,2026-08-29,Las Vegas,NV,US,Business,Unknown,Booth required,Unknown,2000+,https://champstradeshows.com/,https://champstradeshows.com/,,2026-04-17,Do Not Outreach - Business,,,,CHAMPS Trade Show Las Vegas summer edition. Smoke shop industry's largest B2B trade event.,C,trade-show,,
CannaCon Midwest St. Louis,2026-08-28,2026-08-29,St. Louis,MO,US,Business,Unknown,Booth required,Unknown,500-2000,https://cannacon.org/midwest/,https://cannacon.org/midwest/,,2026-04-17,Do Not Outreach - Business,,,,CannaCon Midwest cannabis business conference.,C,trade-show,,
NECANN New Jersey,2026-09-11,2026-09-12,Atlantic City,NJ,US,Business,Unknown,Booth required,Unknown,500-2000,https://necann.com/new-jersey-convention/,https://necann.com/new-jersey-convention/,,2026-04-17,Do Not Outreach - Business,,,,NECANN New Jersey Cannabis Convention.,C,trade-show,,
CB Expo / InterTabac Dortmund,2026-09-15,2026-09-17,Dortmund,,DE,Business,Unknown,Booth required,Unknown,500-2000,https://cb-expo.com/en/,https://cb-expo.com/en/,,2026-04-17,Do Not Outreach - International,,,,"World's largest tobacco/smoke/vape trade fair. CB Expo cannabis co-located. 14,500 trade visitors.",C,trade-show;international;germany-team,,
Network Show LA,2026-09-23,,Los Angeles,CA,USA,Business,No,Sponsorship only,No,500-2000,https://networkshow.co,,,2026-04-18,Do Not Outreach - Business,,,,B2B only. More relevant to Gold Flower LLC than King Palm.,C,b2b;trade-show,,
NACS Show 2026,2026-10-06,2026-10-09,Las Vegas,NV,US,Business,Unknown,Booth required,Unknown,500-2000,https://www.convenience.org/,https://www.convenience.org/,,2026-04-17,Do Not Outreach - Business,,,,"National Association of Convenience Stores. 1,200+ exhibitors, 420,000 sq ft. Key for tobacco/alternative retail.",C,trade-show,,
MJ Unpacked Kansas City,2026-10-13,2026-10-15,Kansas City,MO,US,Business,Unknown,Booth required,Unknown,500-2000,https://mjunpacked.com/,https://mjunpacked.com/,,2026-04-17,Do Not Outreach - Business,,,,MJ Unpacked cannabis B2B conference. Brands meet retail buyers.,C,trade-show,,
Hall of Flowers New York,2026-10-21,2026-10-22,New York,NY,US,Business,Unknown,Booth required,Unknown,500-2000,https://www.hallofflowers.com/,https://www.hallofflowers.com/,,2026-04-17,Do Not Outreach - Business,,,,Hall of Flowers NYC. Day 1: B2B for licensed brands & retail buyers. Day 2: public consumer festival (21+).,C,trade-show,,
Asia International Hemp Expo,2026-11-18,2026-11-20,Bangkok,,TH,Business,Unknown,Booth required,Unknown,500-2000,https://www.asiahempexpo.com/,https://www.asiahempexpo.com/,,2026-04-17,Do Not Outreach - International,,,,"International hemp expo. Agriculture, medicine, sustainability. 10,000+ expected. Key emerging Asian market.",C,trade-show;international;germany-team,,
ExpoCannaBiz Colombia,2026-11-20,2026-11-20,Medellin,,CO,Business,Unknown,Booth required,Unknown,500-2000,,,,2026-04-17,Do Not Outreach - International,,,,"8,000+ attendees, 150+ exhibitors. Latin America's gateway cannabis event.",C,trade-show;international;germany-team,,
MJBizCon 2026,2026-12-01,2026-12-04,Las Vegas,NV,US,Business,Unknown,Booth required,Unknown,2000+,https://mjbizconference.com/,https://mjbizconference.com/,,2026-04-17,Do Not Outreach - Business,,,,"World's largest cannabis trade show. 30,000+ industry professionals. 1,400+ exhibitors.",C,trade-show,,
CHAMPS Trade Show Las Vegas (Dec),2026-12-10,2026-12-13,Las Vegas,NV,US,Business,Unknown,Booth required,Unknown,2000+,https://champstradeshows.com/,https://champstradeshows.com/,,2026-04-17,Do Not Outreach - Business,,,,CHAMPS Trade Show Las Vegas December edition.,C,trade-show,,
Reggae Rise Up Florida,2026-03-12,2026-03-15,St. Petersburg,FL,US,End User,Unknown,$0,Unknown,500-2000,https://reggaeriseup.com/florida/,https://reggaeriseup.com/florida/,,2026-04-17,ARCHIVED - past event,,,,"Four-day waterfront reggae festival. Cypress Hill, Sublime, 311, Slightly Stoopid. 21+ culture.",C,reggae;festival;music,,
Hash Bash (55th Annual),2026-04-04,2026-04-05,Ann Arbor,MI,US,End User,Unknown,$0,Unknown,500-2000,https://www.hash-bash.com/,https://www.hash-bash.com/,,2026-04-17,ARCHIVED - past event,,,,Longest-running cannabis rally in the US. 10-15K attendees. Includes Hash Bash Cup competition (Apr 3-5).,C,,,
Buds-A-Palooza (5th Annual),2026-04-11,2026-04-11,Phoenix,AZ,US,End User,Unknown,$0,Unknown,500-2000,https://www.budsapalooza.com/,https://www.budsapalooza.com/,,2026-04-17,ARCHIVED - past event,,,,"Six city blocks of downtown Phoenix. Two stages, live glass blowing, murals, food vendors. 21+. Major pre-420 cannabis festival.",C,,,
Reggae Rise Up Arizona,2026-04-17,2026-04-19,Tempe,AZ,US,End User,Unknown,$0,Unknown,500-2000,https://reggaeriseup.com/arizona/,https://reggaeriseup.com/arizona/,,2026-04-17,ARCHIVED - past event,,,,Three-day reggae festival at Tempe Beach Park. Cannabis-friendly culture.,C,reggae;festival;music,,
National Cannabis Festival,2026-04-18,2026-04-19,Washington,DC,US,End User,Unknown,$0,Unknown,2000+,https://nationalcannabisfestival.com/,https://nationalcannabisfestival.com/,,2026-04-17,ARCHIVED - past event,,,,"25,000+ attendees. Live music + cannabis advocacy. Major East Coast consumer event.",C,,,
420 State Fair at NuWu,2026-04-18,2026-04-18,Las Vegas,NV,US,End User,Unknown,$0,Unknown,500-2000,https://www.nuwumain.com/events/420-state-fair-2026,https://www.nuwumain.com/events/420-state-fair-2026,,2026-04-17,ARCHIVED - past event,,,,"3rd annual 21+ outdoor takeover. DJs, carnival games, brand activations, open-air cannabis consumption. 2pm-12am.",C,420,,
Kushstock Festival (10-yr Anniversary),2026-04-18,,Los Angeles,CA,USA,End User,Yes,$0,Yes,500-2000,https://eventhi.io/events/kushstock-420-9101,@kushstockfestival,,2026-04-18,ARCHIVED - past event,,,,"4/20 weekend — hosts RAW, STIIIZY, Puffco, West Coast Cure vendor activations. Past for 2026 — build relationship for next events.",A,sesh-style;festival;consumption,,
420 Eve on The Rocks — Wiz Khalifa,2026-04-19,2026-04-19,Morrison,CO,US,End User,Unknown,$0,Unknown,500-2000,https://www.goodvibesattherocks.com/,https://www.goodvibesattherocks.com/,,2026-04-17,ARCHIVED - past event,,,,"Wiz Khalifa, 2 Chainz, Berner, The Underachievers. Annual hip-hop + cannabis culture event at Red Rocks.",C,420,,
